Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
60.0,0.0,0.56396484,0.7529297,-0.42358398,-0.94189453,9.859375,6.6757812,3.2265625,3.0488281,-8.640625,0.84228516,4104.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
60.0,0.0,0.5470378,0.7392578,-0.45515952,-0.944987,10.0755205,6.6471353,3.1901042,3.0572917,-8.6432295,0.8434245,5006.6665
60.0,0.0,0.57854354,0.750279,-0.42626953,-0.94356865,10.041295,6.7695312,3.2089844,3.046875,-8.654017,0.85574776,4304.857
60.0,0.0,0.579834,0.7460124,-0.47062173,-0.94596356,10.350261,6.832682,3.181966,3.052409,-8.667969,0.8421224,4182.3335
60.0,0.0,0.5583845,0.74316406,-0.43603516,-0.9385463,10.295759,6.71596,3.1802456,3.0571988,-8.6640625,0.86432755,4239.143
60.0,0.0,0.5456194,0.7453962,-0.4589146,-0.93603516,10.052455,6.7265625,3.2148438,3.047991,-8.657366,0.8600028,4152.5713
60.0,0.0,0.56844074,0.7397461,-0.4309082,-0.9444987,10.152344,6.7148438,3.1972656,3.0416667,-8.661458,0.87125653,3577.3333
60.0,0.0,0.5659877,0.7435826,-0.4132952,-0.9460798,10.231027,6.8046875,3.1847098,3.0429688,-8.657366,0.8647461,4490.2856
60.0,0.0,0.5709403,0.7440011,-0.43739536,-0.93987167,10.1328125,6.752232,3.1944754,3.0499442,-8.652902,0.8780692,4451.4287
60.0,0.0,0.57250977,0.74658203,-0.44588217,-0.93741864,10.088542,6.7734375,3.2080078,3.0566406,-8.661458,0.88167316,4448.3335
60.0,0.0,0.5565011,0.74665177,-0.4359654,-0.9390346,10.256697,6.736049,3.1880581,3.0527344,-8.652902,0.84953964,4180.5713
60.0,0.0,0.5657087,0.73967636,-0.445731,-0.94308037,10.15625,6.671875,3.1972656,3.0518973,-8.654017,0.85700333,4007.4285
